ClaudeHiakuWeb-raw_confidence,ClaudeHiakuWeb-raw_correctness,ClaudeSonnetWeb-raw_confidence,ClaudeSonnetWeb-raw_correctness,ClaudeOpuWeb-raw_confidence,ClaudeOpuWeb-raw_correctness,GeminiWeb-raw_confidence,GeminiWeb-raw_correctness,GeminiAdvancedWeb-raw_confidence,GeminiAdvancedWeb-raw_correctness,gpt-3.5-turbo-0125_confidence,gpt-3.5-turbo-0125_correctness,gpt-4-0613_confidence,gpt-4-0613_correctness,GPT3.5Web_confidence,GPT3.5Web_correctness,GPT4Web_confidence,GPT4Web_correctness,llama2-13B-Q5KM_confidence,llama2-13B-Q5KM_correctness,medicine-chat-Q8_confidence,medicine-chat-Q8_correctness,llama2-7B-Q8_confidence,llama2-7B-Q8_correctness,mistral-instruct-v2-Q8_confidence,mistral-instruct-v2-Q8_correctness,phi3-3b-Q16_confidence,phi3-3b-Q16_correctness,llama3-8b-Q8_confidence,llama3-8b-Q8_correctness,Llama27B-Poe_confidence,Llama27B-Poe_correctness,Mixtral-8x7B-Poe_confidence,Mixtral-8x7B-Poe_correctness,MistralLarge-Poe_confidence,MistralLarge-Poe_correctness,Llama270B-Poe_confidence,Llama270B-Poe_correctness,claude-3-opus-20240229_confidence,claude-3-opus-20240229_correctness,claude-3-haiku-20240307_confidence,claude-3-haiku-20240307_correctness,claude-3-sonnet-20240229_confidence,claude-3-sonnet-20240229_correctness,Llama3-70b-Poe_confidence,Llama3-70b-Poe_correctness,Llama3-8b-Poe_confidence,Llama3-8b-Poe_correctness,gpt-4o-2024-05-13_confidence,gpt-4o-2024-05-13_correctness,openbioLLM-7B-Q8_confidence,openbioLLM-7B-Q8_correctness,claude-3-5-sonnet-20240620_confidence,claude-3-5-sonnet-20240620_correctness,gpt-4o-mini-2024-07-18_confidence,gpt-4o-mini-2024-07-18_correctness,gemma2-9b-it_confidence,gemma2-9b-it_correctness,Gemma2-9b-Q8_confidence,Gemma2-9b-Q8_correctness,Mistral-7B-T_confidence,Mistral-7B-T_correctness,Llama-2-13b_confidence,Llama-2-13b_correctness,Phi3-medium14b-Q6_confidence,Phi3-medium14b-Q6_correctness,Llama3.1-405B_confidence,Llama3.1-405B_correctness,Llama3.1-70B_confidence,Llama3.1-70B_correctness,Llama3.1-8B_confidence,Llama3.1-8B_correctness,gemma2-27b-it_confidence,gemma2-27b-it_correctness,o1-preview_correctness,o1-mini_correctness,Llama-3.2-1b_correctness,Llama-3.2-3b_correctness,Llama-3.2-11b_correctness,Llama3.2-90B_correctness,Llama-3.3-70b_correctness,Qwen-2-72B_correctness,Qwen-Qwq-32b_correctness,Qwen-2.5-72b_correctness,Phi-3.5-4b_correctness,o1-preview_confidence,o1-mini_confidence,Llama-3.2-1b_confidence,Llama-3.2-3b_confidence,Llama-3.2-11b_confidence,Llama3.2-90B_confidence,Llama-3.3-70b_confidence,Qwen-2-72B_confidence,Qwen-Qwq-32b_confidence,Qwen-2.5-72b_confidence,Phi-3.5-4b_confidence
8,1,7,0,8,1,8.0,0,7.0,1,,0,9.0,1,9,0,9.0,0,9.0,0.0,8.0,0,9.0,0,9.0,1,9.0,0,,0,7.0,0,8.0,1,7.0,0,8.0,1,8.0,1,9.0,1,,0,8.0,1,8,0,,1,,0,8,1,8.0,0,8.0,0,8,0,9,1,9.0,0,8.0,1,8,1,8.0,1,9.0,0,8,0,1,0,0,0,1,1,0,0,0,1,0,9.0,9,9.0,8,8.0,9,8,9,cell_empty,10,9
9,0,8,0,8,0,8.0,0,9.0,0,9.0,0,8.0,0,8,0,8.0,0,9.0,0.0,10.0,0,8.0,1,9.0,0,,0,10.0,0,10.0,0,10.0,0,7.0,0,9.0,0,8.0,1,9.0,0,7.0,0,8.0,1,8,0,8.0,1,10.0,0,8,1,9.0,0,9.0,0,9,0,7,0,9.0,0,9.0,0,8,0,8.0,0,8.0,1,8,1,1,1,1,1,1,1,0,1,0,0,0,9.0,9,9.0,8,9.0,8,8,9,cell_empty,9,9
9,0,8,0,8,0,9.0,0,9.0,1,,0,9.0,0,8,0,9.0,0,9.0,0.0,10.0,0,9.0,0,,1,9.0,0,,1,10.0,1,10.0,0,8.0,1,9.0,0,,0,9.0,0,,0,8.0,1,9,1,8.0,0,,1,9,0,9.0,0,9.0,1,9,0,9,0,9.0,0,9.0,1,9,0,8.0,0,9.0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,10.0,9,8.0,9,9.0,6,9,9,cell_empty,9,10
9,1,8,1,2,0,9.0,0,8.0,0,,1,,1,8,1,9.0,0,9.0,1.0,,1,9.0,1,10.0,1,8.0,1,,0,10.0,1,9.0,0,8.0,1,8.0,0,8.0,0,9.0,1,,1,8.0,0,9,0,9.0,0,,0,8,0,8.0,0,8.0,1,8,1,10,1,9.0,1,9.0,0,8,0,8.0,0,9.0,0,9,0,0,0,1,0,0,0,0,0,0,1,0,9.0,9,9.0,8,8.0,9,8,9,cell_empty,4,9
9,0,9,1,9,1,9.0,1,8.0,1,,1,,1,9,1,9.0,1,,1.0,,1,9.0,0,9.0,1,9.0,1,,0,10.0,0,9.0,1,9.0,1,10.0,0,9.0,1,9.0,0,,0,9.0,0,9,0,9.0,1,,0,9,1,9.0,1,8.0,0,9,1,10,1,9.0,0,9.0,1,9,1,9.0,1,9.0,0,9,1,1,1,0,0,1,1,1,1,1,1,0,9.0,10,9.0,9,9.0,9,9,10,cell_empty,10,9
9,1,9,1,9,1,9.0,1,8.0,1,,1,10.0,1,9,1,10.0,1,9.0,0.0,,1,,0,10.0,1,10.0,1,,1,8.0,0,9.0,1,9.0,1,8.0,1,10.0,1,9.0,1,,1,9.0,1,9,0,9.0,1,,0,9,1,9.0,1,9.0,1,9,1,10,1,9.0,0,10.0,1,9,1,10.0,1,9.0,1,9,1,0,1,1,1,1,1,1,1,1,1,0,10.0,10,8.0,9,8.0,9,9,10,no_confidence,9,9
8,1,8,1,8,1,9.0,1,8.0,1,,0,9.0,0,8,0,,0,,0.0,,0,10.0,0,10.0,1,9.0,1,,0,6.0,1,9.0,1,9.0,1,9.0,1,8.0,1,9.0,0,,1,8.0,1,9,0,9.0,1,,0,8,1,9.0,0,8.0,1,8,1,10,1,9.0,1,8.0,1,9,1,9.0,1,9.0,0,8,0,1,0,1,0,1,1,1,1,1,0,0,9.0,9,9.0,9,9.0,8,9,9,cell_empty,9,9
9,1,9,1,8,1,8.0,0,8.0,1,,1,,1,9,1,9.0,1,9.0,0.0,8.0,0,9.0,0,10.0,1,9.0,0,,0,10.0,0,9.0,1,9.0,1,9.0,0,9.0,1,10.0,1,9.0,1,9.0,1,9,1,9.0,1,9.0,0,9,1,9.0,1,9.0,1,9,1,10,0,9.0,0,9.0,1,9,1,9.0,1,9.0,1,9,1,1,1,0,1,1,1,1,1,1,1,0,9.0,9,7.0,9,9.0,9,9,10,9,10,10
9,1,8,1,8,1,8.0,1,8.0,1,,1,9.0,1,9,1,9.0,1,,0.0,,1,9.0,1,10.0,1,9.0,1,10.0,0,7.0,1,8.0,1,9.0,1,8.0,0,,1,,1,8.0,1,8.0,0,8,0,9.0,1,,1,9,1,8.0,1,8.0,0,8,0,10,0,9.0,0,9.0,1,8,0,9.0,0,9.0,1,8,1,1,1,0,1,1,1,1,1,1,1,0,cell_empty,9,8.0,8,9.0,9,9,9,9,8,9
9,1,9,1,8,1,8.0,1,7.0,1,,1,10.0,1,9,1,9.0,1,9.0,1.0,10.0,1,8.0,0,10.0,0,9.0,1,10.0,0,10.0,0,9.0,1,8.0,1,9.0,1,8.0,1,,1,,1,9.0,1,9,1,9.0,1,,0,9,1,9.0,1,9.0,1,8,1,10,0,9.0,0,8.0,1,9,1,8.0,1,9.0,1,9,1,1,1,1,1,1,1,1,1,1,1,0,9.0,10,9.0,6,9.0,9,9,10,9,10,9
9,1,9,1,2,1,8.0,1,,0,,1,,1,8,1,10.0,1,,0.0,,0,9.0,1,10.0,1,9.0,1,,1,10.0,0,8.0,1,9.0,1,8.0,0,9.0,1,,1,9.0,1,8.0,1,8,1,9.0,1,,0,9,1,9.0,1,8.0,1,9,1,10,1,9.0,1,9.0,1,9,1,8.0,1,9.0,1,9,1,1,1,0,1,1,1,1,1,1,1,0,cell_empty,10,8.0,8,8.0,9,9,9,9,3,9
10,0,9,0,8,0,9.0,0,9.0,0,,1,10.0,1,4,1,7.0,1,9.0,0.0,,0,9.0,0,10.0,0,1.0,1,10.0,0,9.0,0,9.0,1,3.0,1,8.0,1,9.0,0,,0,,1,8.0,0,9,0,6.0,0,,1,6,1,7.0,1,9.0,0,9,0,10,0,9.0,1,6.0,1,2,0,6.0,1,8.0,0,9,0,1,1,0,0,0,1,1,0,0,1,0,9.0,9,6.0,8,9.0,6,2,4,cell_empty,9,9
9,0,9,0,8,1,,0,9.0,0,,1,,1,9,0,9.0,0,,0.0,,1,9.0,0,,0,,0,10.0,0,10.0,1,9.0,1,7.0,0,9.0,0,9.0,1,9.0,1,9.0,0,9.0,1,9,0,9.0,1,,0,9,1,9.0,0,9.0,0,8,0,10,0,9.0,0,9.0,1,9,1,8.0,0,9.0,0,9,0,1,0,1,0,1,0,0,0,0,0,0,9.0,9,9.0,9,8.0,9,9,9,cell_empty,5,10
9,0,7,1,8,0,7.0,0,6.0,0,,0,9.0,1,7,0,8.0,0,,1.0,,0,,1,,1,8.0,0,10.0,0,9.0,0,9.0,1,6.0,1,8.0,0,,0,9.0,1,9.0,0,8.0,0,9,0,9.0,1,,1,9,1,9.0,0,8.0,1,8,0,10,1,9.0,0,9.0,0,8,1,8.0,0,9.0,0,8,0,1,0,0,0,1,0,1,0,1,0,0,9.0,9,9.0,4,9.0,9,8,9,cell_empty,cell_empty,9
8,0,8,1,8,1,,0,,0,,1,9.0,1,9,0,9.0,1,,1.0,,0,,0,9.0,1,9.0,0,10.0,0,9.0,0,9.0,1,8.0,1,9.0,0,9.0,1,9.0,0,,0,9.0,1,8,0,8.0,1,,0,8,1,9.0,1,9.0,1,9,1,10,0,9.0,0,8.0,1,9,1,9.0,0,9.0,1,9,1,1,1,0,1,1,1,1,1,0,1,0,9.0,8,9.0,9,9.0,9,8,10,cell_empty,8,9
8,0,8,0,8,0,,0,9.0,0,,0,8.0,0,9,0,9.0,0,,0.0,8.0,0,9.0,0,9.0,0,9.0,0,9.0,0,8.0,0,9.0,0,8.0,0,8.0,0,8.0,0,9.0,0,8.0,1,8.0,0,6,0,9.0,0,,0,8,0,9.0,0,8.0,0,8,0,9,0,9.0,0,8.0,0,8,0,9.0,1,2.0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,9.0,9,8.0,8,9.0,9,9,9,cell_empty,3,9
9,0,8,1,8,0,7.0,0,8.0,0,,1,9.0,0,8,0,8.0,0,,0.0,,0,,1,9.0,1,9.0,0,,1,9.0,0,9.0,0,9.0,0,9.0,0,,1,8.0,0,9.0,1,8.0,0,0,1,9.0,0,,0,9,0,3.0,0,9.0,1,9,1,10,1,9.0,0,7.0,0,9,0,9.0,0,9.0,0,8,0,0,1,0,1,1,0,0,0,0,1,0,9.0,10,8.0,2,9.0,9,9,9,cell_empty,10,10
9,1,9,1,9,1,10.0,1,9.0,1,,1,10.0,1,9,1,10.0,1,,1.0,10.0,1,10.0,1,10.0,1,10.0,1,10.0,0,9.0,1,10.0,1,10.0,1,9.0,1,10.0,1,,1,9.0,1,9.0,1,9,1,10.0,1,10.0,0,9,1,,1,9.0,1,9,1,10,1,9.0,1,9.0,1,9,1,9.0,1,10.0,1,9,1,1,1,1,1,1,1,1,1,1,1,1,10.0,9,4.0,9,10.0,9,10,10,10,9,10
9,1,7,1,7,0,8.0,1,8.0,1,,0,5.0,0,8,0,7.0,0,9.0,1.0,8.0,0,10.0,1,,0,8.0,1,,0,9.0,0,6.0,1,7.0,1,9.0,1,8.0,0,,1,,1,8.0,0,9,0,8.0,1,,0,9,0,9.0,0,8.0,0,6,1,1,0,8.0,1,8.0,0,8,0,8.0,1,8.0,0,7,0,1,1,0,1,0,0,0,0,0,1,1,8.0,9,10.0,9,9.0,8,8,8,8,9,9
9,0,8,0,8,0,9.0,0,8.0,0,,0,8.0,1,9,0,9.0,1,9.0,0.0,,0,9.0,0,10.0,0,9.0,0,10.0,0,9.0,0,9.0,0,8.0,0,8.0,0,9.0,0,,0,,0,8.0,0,9,0,9.0,1,,0,8,0,9.0,0,9.0,0,9,0,10,0,9.0,0,9.0,0,8,1,9.0,0,9.0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,8.0,9,9.0,9,9.0,9,8,9,8,3,9
9,1,9,1,9,1,9.0,1,9.0,1,,1,10.0,1,8,0,9.0,1,9.0,1.0,,1,,0,,0,8.0,1,10.0,1,10.0,1,10.0,1,9.0,1,9.0,0,,1,9.0,1,,1,9.0,1,9,1,9.0,1,,0,9,1,8.0,0,9.0,1,9,1,10,1,9.0,0,9.0,1,9,1,9.0,1,9.0,1,9,1,1,1,1,0,1,1,1,1,1,1,0,10.0,10,cell_empty,9,9.0,9,9,9,cell_empty,9,9
9,0,9,1,9,1,9.0,0,9.0,1,,1,10.0,1,8,1,10.0,1,9.0,0.0,9.0,0,8.0,0,10.0,0,9.0,1,10.0,0,9.0,1,9.0,0,9.0,0,10.0,1,9.0,1,,1,9.0,1,9.0,0,9,0,10.0,1,,0,9,1,10.0,1,8.0,1,8,0,10,0,9.0,0,8.0,0,9,1,9.0,1,9.0,1,10,1,1,1,0,0,1,1,0,1,1,1,0,10.0,10,8.0,8,9.0,9,10,9,cell_empty,10,cell_empty
9,0,9,0,8,0,7.0,0,8.0,1,,0,9.0,1,7,0,9.0,0,,1.0,,0,8.0,1,9.0,1,10.0,0,10.0,0,9.0,0,7.0,1,6.0,0,8.0,0,8.0,1,9.0,1,9.0,0,8.0,0,9,1,,0,,0,8,1,9.0,0,7.0,0,7,0,10,0,8.0,0,9.0,1,8,1,8.0,0,9.0,0,7,0,1,0,0,0,0,0,0,0,0,1,1,9.0,9,8.0,9,9.0,8,8,9,cell_empty,6,9
9,1,9,1,9,1,,0,,0,,1,10.0,1,8,1,10.0,1,,0.0,,0,10.0,0,,1,10.0,1,6.0,0,9.0,0,10.0,1,9.0,0,8.0,1,,1,9.0,1,,1,9.0,1,8,1,10.0,1,,1,9,1,10.0,1,9.0,1,9,1,10,1,9.0,1,10.0,1,10,1,9.0,1,10.0,1,9,1,1,1,1,1,1,1,1,0,1,1,0,10.0,10,9.0,10,9.0,10,9,9,cell_empty,9,9
9,0,9,0,9,0,9.0,0,9.0,0,,0,,0,9,0,9.0,0,,0.0,,0,9.0,0,9.0,0,9.0,0,5.0,1,10.0,0,9.0,0,8.0,0,9.0,0,,0,9.0,0,,0,9.0,0,9,0,9.0,1,,0,9,0,8.0,0,8.0,0,8,0,10,0,9.0,1,9.0,0,8,1,9.0,0,9.0,1,8,1,1,0,1,1,1,0,0,0,1,0,0,9.0,9,6.0,9,9.0,9,8,9,cell_empty,cell_empty,9
9,0,9,0,8,0,,0,,0,,0,,0,8,0,9.0,0,9.0,0.0,,0,,0,9.0,0,9.0,0,9.0,1,8.0,1,9.0,0,9.0,0,9.0,1,9.0,0,,0,9.0,0,9.0,0,9,0,9.0,0,,0,9,0,9.0,0,9.0,1,9,0,9,0,9.0,0,9.0,0,9,0,9.0,0,9.0,0,9,1,0,0,1,0,0,0,0,0,0,0,1,10.0,9,9.0,8,9.0,9,9,10,cell_empty,10,10
9,0,9,0,8,0,,0,8.0,0,,1,10.0,0,9,0,9.0,0,,0.0,8.0,0,8.0,1,,0,9.0,0,,0,9.0,0,10.0,0,8.0,0,9.0,0,9.0,0,9.0,0,,0,8.0,0,8,0,8.0,0,,1,8,1,9.0,0,9.0,0,9,0,10,0,9.0,0,7.0,0,8,0,8.0,0,9.0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,9.0,9,8.0,6,9.0,8,9,9,cell_empty,9,9
9,1,8,1,9,1,9.0,1,9.0,1,,1,9.0,1,8,1,10.0,1,9.0,0.0,9.0,1,9.0,1,9.0,1,9.0,1,1.0,1,7.0,0,9.0,1,9.0,1,9.0,0,,1,9.0,1,9.0,1,9.0,1,9,1,9.0,1,,1,9,1,9.0,1,9.0,1,9,1,10,1,9.0,1,8.0,1,9,1,9.0,1,9.0,1,9,1,1,1,1,1,1,1,1,1,1,1,1,9.0,9,6.0,8,9.0,9,9,10,9,10,9
9,1,9,1,8,1,10.0,0,9.0,1,,0,10.0,0,9,0,9.0,1,9.0,1.0,10.0,0,,0,,0,10.0,0,,0,8.0,0,9.0,0,9.0,0,9.0,0,,1,9.0,1,9.0,1,9.0,1,9,1,9.0,1,,0,8,1,8.0,1,9.0,0,9,1,10,0,9.0,1,9.0,1,9,1,9.0,1,9.0,0,9,0,1,1,1,0,0,1,1,1,1,0,0,10.0,10,9.0,8,9.0,9,9,10,9,9,9
9,0,9,0,8,0,8.0,0,9.0,1,,0,9.0,0,9,0,9.0,0,,0.0,9.0,0,,0,9.0,0,9.0,0,,0,9.0,0,9.0,0,8.0,0,9.0,0,,0,,0,8.0,0,8.0,0,9,0,9.0,1,,1,9,0,8.0,0,9.0,0,9,1,9,0,9.0,0,9.0,0,8,0,9.0,0,9.0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,9.0,9,9.0,8,9.0,8,9,9,cell_empty,9,9
9,0,9,1,9,0,9.0,1,9.0,1,,1,10.0,1,9,0,10.0,1,9.0,0.0,9.0,1,9.0,1,10.0,1,10.0,1,,0,9.0,0,9.0,0,9.0,1,9.0,1,9.0,0,9.0,1,9.0,1,9.0,1,8,1,9.0,1,,1,9,1,9.0,1,9.0,1,9,1,10,1,9.0,0,9.0,1,9,1,10.0,1,2.0,1,10,1,1,1,0,0,1,1,1,1,1,1,0,10.0,10,9.0,4,10.0,9,9,10,cell_empty,10,9
8,1,8,1,8,1,9.0,0,8.0,0,,0,9.0,1,9,1,9.0,1,9.0,0.0,9.0,0,8.0,1,9.0,0,9.0,1,10.0,0,9.0,0,9.0,0,8.0,0,9.0,1,8.0,1,,1,8.0,0,8.0,0,9,0,9.0,1,8.0,0,9,1,9.0,1,9.0,1,9,1,10,0,9.0,0,9.0,0,8,1,9.0,0,9.0,0,8,0,1,1,0,0,0,1,1,0,0,1,0,9.0,9,9.0,9,8.0,9,8,8,cell_empty,9,9
9,0,9,0,9,0,9.0,0,8.0,0,,0,10.0,0,9,0,10.0,0,,0.0,8.0,0,9.0,1,9.0,0,9.0,0,10.0,0,6.0,1,9.0,0,9.0,0,9.0,0,9.0,0,9.0,0,,0,9.0,0,9,0,9.0,0,,1,9,0,8.0,0,9.0,0,9,0,10,0,9.0,1,8.0,0,9,0,9.0,0,9.0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,9.0,10,8.0,9,9.0,9,9,9,9,10,9
9,1,7,0,8,1,9.0,0,8.0,1,,0,4.0,0,8,1,8.0,1,9.0,1.0,9.0,0,4.0,0,9.0,1,8.0,0,10.0,0,8.0,1,9.0,0,8.0,1,8.0,0,8.0,1,9.0,1,,0,8.0,1,8,0,8.0,1,,1,6,0,7.0,1,0.0,1,8,0,10,1,8.0,1,4.0,0,6,0,8.0,1,9.0,0,8,1,1,0,0,0,0,0,0,1,1,0,0,9.0,8,8.0,9,8.0,1,2,3,cell_empty,8,9
10,1,9,1,9,1,9.0,1,9.0,1,,1,10.0,1,9,1,9.0,1,9.0,1.0,9.0,1,9.0,0,,0,9.0,1,,0,10.0,1,9.0,1,10.0,1,9.0,1,9.0,1,9.0,1,,1,9.0,1,8,1,9.0,1,,0,9,1,9.0,1,9.0,1,9,1,8,1,9.0,0,9.0,1,9,1,2.0,1,8.0,1,9,1,1,1,1,1,1,1,1,1,1,1,1,9.0,9,8.0,9,9.0,9,9,10,9,10,9
